ARGS: standings --dutch ../../trf/testdata/bbp-8p5r-input.trf
EXIT: 0
STDOUT:
Rank  ID  Name          Score  Buchholz Cut-1  Buchholz  Sonneborn-Berger  Direct Encounter
----  --  ----          -----  --------        --------  --------          --------
1     1   Player One    0      0               0         0                 0
1     2   Player Two    0      0               0         0                 0
1     3   Player Three  0      0               0         0                 0
1     4   Player Four   0      0               0         0                 0
1     5   Player Five   0      0               0         0                 0
1     6   Player Six    0      0               0         0                 0
1     7   Player Seven  0      0               0         0                 0
1     8   Player Eight  0      0               0         0                 0
STDERR:
