ARGS: standings --dutch ../../trf/testdata/bbp-8p5r-output.trf
EXIT: 0
STDOUT:
Rank  ID  Name          Score  Buchholz Cut-1  Buchholz  Sonneborn-Berger  Direct Encounter
----  --  ----          -----  --------        --------  --------          --------
1     8   Player Eight  3      11              13        8                 2
2     6   Player Six    3      11              13        7                 1
3     2   Player Two    3      10              12        7                 1
3     3   Player Three  3      10              12        7                 1
5     1   Player One    2      11              13        5                 1
5     4   Player Four   2      11              13        5                 1
7     7   Player Seven  2      10              12        5                 1
8     5   Player Five   2      10              12        4                 2
STDERR:
