error=<nil>
1 P13 "Player 13" score=4.5 games=5 w=4 d=1 l=0 aro=1800 aro-cut1=1800 avg-opponent-buchholz=8.67 avg-opponent-fore-buchholz=9.17 avg-opponent-ptp=1799 avg-opponent-tpr=1267 black-games=4 black-wins=2 buchholz=6 buchholz-cut1=6 buchholz-cut2=5 buchholz-median=3 buchholz-median2=1 direct-encounter=0 fore-buchholz=7 games-played=4 ge=6 koya=0.5 pairing-number=-13 performance-points=2600 performance-rating=2077 player-rating=1800 progressive=14.5 progressive-cut1=13.5 rounds-played=6 sonneborn-berger=4.5 sonneborn-berger-cut1=4.5 standard-points=4.5 win=4 wins=2
2 P18 "Player 18" score=3.5 games=5 w=3 d=1 l=1 aro=1800 aro-cut1=1800 avg-opponent-buchholz=6.25 avg-opponent-fore-buchholz=6.25 avg-opponent-ptp=1399 avg-opponent-tpr=1400 black-games=2 black-wins=1 buchholz=12 buchholz-cut1=9.5 buchholz-cut2=6.5 buchholz-median=6.5 buchholz-median2=1.5 direct-encounter=0 fore-buchholz=12 games-played=2 ge=4 koya=0 pairing-number=-18 performance-points=2600 performance-rating=1993 player-rating=1800 progressive=13.5 progressive-cut1=13 rounds-played=4 sonneborn-berger=6.5 sonneborn-berger-cut1=6 standard-points=4 win=3 wins=1
3 P08 "Player 08" score=3 games=4 w=2 d=2 l=0 aro=1800 aro-cut1=1800 avg-opponent-buchholz=6.25 avg-opponent-fore-buchholz=7 avg-opponent-ptp=2600 avg-opponent-tpr=2035 black-games=0 black-wins=0 buchholz=9.5 buchholz-cut1=9 buchholz-cut2=7 buchholz-median=4.5 buchholz-median2=0 direct-encounter=0 fore-buchholz=11 games-played=4 ge=6 koya=0.5 pairing-number=-8 performance-points=2600 performance-rating=1800 player-rating=1800 progressive=9.5 progressive-cut1=9.5 rounds-played=6 sonneborn-berger=6 sonneborn-berger-cut1=5.5 standard-points=3 win=2 wins=0
4 P03 "Player 03" score=3 games=2 w=1 d=1 l=0 aro=1800 aro-cut1=0 avg-opponent-buchholz=11.5 avg-opponent-fore-buchholz=11.5 avg-opponent-ptp=1797 avg-opponent-tpr=1800 black-games=1 black-wins=0 buchholz=15.5 buchholz-cut1=12.5 buchholz-cut2=9.5 buchholz-median=9.5 buchholz-median2=3.5 direct-encounter=0 fore-buchholz=15.5 games-played=1 ge=3 koya=0 pairing-number=-3 performance-points=2600 performance-rating=1800 player-rating=1800 progressive=7 progressive-cut1=7 rounds-played=5 sonneborn-berger=7.25 sonneborn-berger-cut1=6.5 standard-points=3 win=2 wins=0
5 P14 "Player 14" score=2.5 games=3 w=2 d=1 l=0 aro=1800 aro-cut1=1800 avg-opponent-buchholz=9.25 avg-opponent-fore-buchholz=10.25 avg-opponent-ptp=2340 avg-opponent-tpr=1800 black-games=5 black-wins=1 buchholz=6.5 buchholz-cut1=5.5 buchholz-cut2=3 buchholz-median=2.5 buchholz-median2=0 direct-encounter=1 fore-buchholz=7 games-played=5 ge=6 koya=0.5 pairing-number=-14 performance-points=2600 performance-rating=1993 player-rating=1800 progressive=9 progressive-cut1=8 rounds-played=6 sonneborn-berger=5 sonneborn-berger-cut1=4 standard-points=2.5 win=2 wins=1
6 P06 "Player 06" score=2.5 games=4 w=2 d=1 l=1 aro=1800 aro-cut1=1800 avg-opponent-buchholz=7 avg-opponent-fore-buchholz=8.33 avg-opponent-ptp=2268 avg-opponent-tpr=1800 black-games=0 black-wins=0 buchholz=9 buchholz-cut1=7.5 buchholz-cut2=7 buchholz-median=5 buchholz-median2=2 direct-encounter=0 fore-buchholz=9.5 games-played=4 ge=5 koya=0 pairing-number=-6 performance-points=2079 performance-rating=1800 player-rating=1800 progressive=9 progressive-cut1=9 rounds-played=5 sonneborn-berger=4.75 sonneborn-berger-cut1=4.5 standard-points=3 win=2 wins=1
7 P09 "Player 09" score=2.5 games=3 w=2 d=1 l=0 aro=1800 aro-cut1=1800 avg-opponent-buchholz=6.75 avg-opponent-fore-buchholz=7.25 avg-opponent-ptp=1800 avg-opponent-tpr=1400 black-games=0 black-wins=0 buchholz=3 buchholz-cut1=3 buchholz-cut2=2 buchholz-median=1 buchholz-median2=0 direct-encounter=0 fore-buchholz=4.5 games-played=5 ge=6 koya=0 pairing-number=-9 performance-points=2600 performance-rating=1993 player-rating=1800 progressive=10 progressive-cut1=9.5 rounds-played=6 sonneborn-berger=2.5 sonneborn-berger-cut1=2.5 standard-points=2.5 win=2 wins=1
8 P15 "Player 15" score=2 games=5 w=2 d=0 l=3 aro=1800 aro-cut1=1800 avg-opponent-buchholz=8.75 avg-opponent-fore-buchholz=8.75 avg-opponent-ptp=1938 avg-opponent-tpr=1400 black-games=2 black-wins=1 buchholz=9 buchholz-cut1=8 buchholz-cut2=6 buchholz-median=5.5 buchholz-median2=1.5 direct-encounter=0 fore-buchholz=9 games-played=2 ge=3 koya=0 pairing-number=-15 performance-points=2600 performance-rating=1800 player-rating=1800 progressive=10 progressive-cut1=9 rounds-played=3 sonneborn-berger=1.5 sonneborn-berger-cut1=1 standard-points=2.5 win=2 wins=1
9 P01 "Player 01" score=1.5 games=3 w=0 d=3 l=0 aro=1800 aro-cut1=1800 avg-opponent-buchholz=10.67 avg-opponent-fore-buchholz=11 avg-opponent-ptp=2129 avg-opponent-tpr=1864 black-games=0 black-wins=0 buchholz=11.5 buchholz-cut1=11 buchholz-cut2=9.5 buchholz-median=8 buchholz-median2=3.5 direct-encounter=0.5 fore-buchholz=11.5 games-played=3 ge=3 koya=0.5 pairing-number=-1 performance-points=1797 performance-rating=1800 player-rating=1800 progressive=9 progressive-cut1=8.5 rounds-played=3 sonneborn-berger=4.75 sonneborn-berger-cut1=4.75 standard-points=3 win=0 wins=0
10 P04 "Player 04" score=1.5 games=5 w=1 d=1 l=3 aro=1800 aro-cut1=1800 avg-opponent-buchholz=8.5 avg-opponent-fore-buchholz=10.25 avg-opponent-ptp=1700 avg-opponent-tpr=1704 black-games=1 black-wins=0 buchholz=7.5 buchholz-cut1=6.5 buchholz-cut2=5 buchholz-median=5 buchholz-median2=2 direct-encounter=0.5 fore-buchholz=8.5 games-played=2 ge=2 koya=0 pairing-number=-4 performance-points=1989 performance-rating=1993 player-rating=1800 progressive=7.5 progressive-cut1=6.5 rounds-played=2 sonneborn-berger=1.25 sonneborn-berger-cut1=0.75 standard-points=1.5 win=1 wins=1
11 P07 "Player 07" score=1 games=4 w=1 d=0 l=3 aro=1800 aro-cut1=1800 avg-opponent-buchholz=7.5 avg-opponent-fore-buchholz=8 avg-opponent-ptp=2600 avg-opponent-tpr=1939 black-games=0 black-wins=0 buchholz=8.5 buchholz-cut1=7.5 buchholz-cut2=6.5 buchholz-median=3 buchholz-median2=0 direct-encounter=0 fore-buchholz=8 games-played=4 ge=5 koya=0 pairing-number=-7 performance-points=1797 performance-rating=1000 player-rating=1800 progressive=2 progressive-cut1=2 rounds-played=5 sonneborn-berger=1 sonneborn-berger-cut1=1 standard-points=1 win=1 wins=0
